RowNumber,EventClass,TextData,ApplicationName,NTUserName,LoginName,ClientProcessID,SPID,StartTime,CPU,Reads,Writes,Duration,EndTime,DatabaseID,DatabaseName,Error,EventSequence,GroupID,HostName,IsSystem,LoginSid,NTDomainName,RequestID,RowCounts,ServerName,SessionLoginName,TransactionID,XactSequence,BinaryData
0,65528,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0xFFFE900209004D006900630072006F0073006F00660074002000530051004C00200053006500720076006500720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000F00D007000000004400450053004B0054004F0050002D0037004F0051004C0031004300320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000FAFBEDFB00FCFF380C000100090003000B0004000600070008000A000C000D000E000F001000110012001A001F002300290030003100320033003C0040004200FCFB381B0001000A0006000B0009000C000E001200100011000D000F00030023001F003300420008003C0029000700310030001A00400004003200
1,65534,NULL,NULL,NULL,NULL,NULL,NULL,51:48.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,12,select * from Weather.dbo.weather,Python,NULL,temp,9372,58,51:58.6,0,99,0,2336357,52:00.9,1,master,2,1969,2,DESKTOP-7OQL1C2,NULL,0xDF5541092BCB7B41BE3A65E9E22A6817,NULL,0,0,DESKTOP-7OQL1C2,temp,NULL,0,NULL
3,12,select * from Telecom.dbo.telecom_users,Python,NULL,temp,9372,58,52:00.9,0,127,0,2339646,52:03.2,1,master,2,1970,2,DESKTOP-7OQL1C2,NULL,0xDF5541092BCB7B41BE3A65E9E22A6817,NULL,0,0,DESKTOP-7OQL1C2,temp,NULL,0,NULL
4,12,"insert into Telecom.dbo.telecom_users values (6780, '7010-BRBUU', 'Male', 0, 'Yes', 'No', 75, 'Yes', 'No', 'DSL', 'Yes', 'No', 'No', 'Yes', 'No', 'No', 'Two Year', 'Yes', 'Credit card', 24.2, 3370.2, 'No')",Python,NULL,temp,9372,58,52:03.2,0,63,0,8470,52:03.2,1,master,0,1971,2,DESKTOP-7OQL1C2,NULL,0xDF5541092BCB7B41BE3A65E9E22A6817,NULL,0,1,DESKTOP-7OQL1C2,temp,NULL,0,NULL
5,12,select * from Telecom.dbo.telecom_users,Python,NULL,temp,9372,58,52:05.2,0,6,0,2020313,52:07.3,1,master,2,1972,2,DESKTOP-7OQL1C2,NULL,0xDF5541092BCB7B41BE3A65E9E22A6817,NULL,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11,NULL
6,12,"insert into Weather.dbo.weather values (42.45, 'Fenway', 1, 1012.17, 0.1089, default, 0.96, 1.53)",Python,NULL,temp,9372,58,52:07.3,0,100,1,4249,52:07.3,1,master,0,1973,2,DESKTOP-7OQL1C2,NULL,0xDF5541092BCB7B41BE3A65E9E22A6817,NULL,0,1,DESKTOP-7OQL1C2,temp,NULL,0,NULL
7,12,use CabRides select top 1000 * from cab_rides where name='Lyft',Python,NULL,temp,9372,58,52:09.3,0,190,0,2020134,52:11.3,5,CabRides,2,1974,2,DESKTOP-7OQL1C2,NULL,0xDF5541092BCB7B41BE3A65E9E22A6817,NULL,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11,NULL
8,12,delete top (1) from Telecom.dbo.telecom_users where InternetService='DSL',Python,NULL,temp,9372,58,52:11.3,0,23,0,20190,52:11.3,5,CabRides,0,1975,2,DESKTOP-7OQL1C2,NULL,0xDF5541092BCB7B41BE3A65E9E22A6817,NULL,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11,NULL
9,12,"insert into CabRides.dbo.cab_rides values (0.44, 'Lyft', 1540000000000, 'North Station', 'Haymarket Square', 16.5, 1, 'e8bac1d1-6e83-4ebd-a0a9-bfcf9de1a86f', 'lyft_line', 'UberX')",Python,NULL,temp,9372,58,52:13.3,0,122,1,5460,52:13.3,5,CabRides,0,1976,2,DESKTOP-7OQL1C2,NULL,0xDF5541092BCB7B41BE3A65E9E22A6817,NULL,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11,NULL
10,12,use Students select top 1000 * from StudentsPerformance where gender='male',Python,NULL,temp,9372,58,52:15.3,0,106,0,2013894,52:17.3,6,Students,2,1977,2,DESKTOP-7OQL1C2,NULL,0xDF5541092BCB7B41BE3A65E9E22A6817,NULL,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11,NULL
